iter	Passed	Remaining
0	49	49477
1	49	24924
2	50	16725
3	50	12623
4	51	10163
5	51	8532
6	51	7366
7	52	6489
8	52	5806
9	53	5261
10	53	4814
11	53	4443
12	54	4127
13	54	3858
14	55	3626
15	55	3421
16	56	3240
17	56	3079
18	56	2936
19	57	2806
20	57	2688
21	58	2582
22	58	2485
23	58	2396
24	59	2314
25	59	2238
26	60	2168
27	60	2102
28	60	2041
29	61	1984
30	61	1932
31	62	1882
32	62	1836
33	63	1791
34	63	1749
35	63	1709
36	64	1673
37	64	1639
38	65	1604
39	65	1569
40	65	1537
41	66	1506
42	66	1477
43	66	1448
44	66	1421
45	67	1395
46	67	1371
47	67	1347
48	68	1324
49	68	1303
50	68	1282
51	69	1261
52	69	1241
53	69	1224
54	70	1207
55	70	1189
56	70	1173
57	71	1156
58	71	1141
59	71	1126
60	72	1111
61	72	1097
62	72	1083
63	73	1069
64	73	1056
65	73	1044
66	74	1033
67	74	1021
68	74	1010
69	75	999
70	75	988
71	75	977
72	76	966
73	76	956
74	76	946
75	77	937
76	77	927
77	77	918
78	78	909
79	78	900
80	78	892
81	78	884
82	79	874
83	79	867
84	79	860
85	80	852
86	80	845
87	80	837
88	81	830
89	81	823
90	81	816
91	82	809
92	82	803
93	82	796
94	82	790
95	83	784
96	83	778
97	83	772
98	84	766
99	84	760
100	84	755
101	85	750
102	85	744
103	85	739
104	86	734
105	86	729
106	86	724
107	87	719
108	87	714
109	87	709
110	87	704
111	88	699
112	88	695
113	88	690
114	89	686
115	89	681
116	89	676
117	89	672
118	90	668
119	90	664
120	90	660
121	91	655
122	91	652
123	91	648
124	92	644
125	92	640
126	92	636
127	92	633
128	93	629
129	93	626
130	93	622
131	94	619
132	94	615
133	94	612
134	95	609
135	95	605
136	95	602
137	95	599
138	96	596
139	96	593
140	96	590
141	97	586
142	97	583
143	97	580
144	97	577
145	98	574
146	98	571
147	98	568
148	99	565
149	99	563
150	99	560
151	99	557
152	100	555
153	100	552
154	100	550
155	101	547
156	101	545
157	101	542
158	102	540
159	102	537
160	102	534
161	102	532
162	103	530
163	103	527
164	103	525
165	104	523
166	104	520
167	104	518
168	105	516
169	105	514
170	105	512
171	105	509
172	106	507
173	106	505
174	106	503
175	107	501
176	107	499
177	107	497
178	107	495
179	108	493
180	108	491
181	108	489
182	109	487
183	109	485
184	109	483
185	110	481
186	110	479
187	110	477
188	110	476
189	111	474
190	111	472
191	111	470
192	112	468
193	112	467
194	112	465
195	113	463
196	113	461
197	113	460
198	113	458
199	114	456
200	114	455
201	114	453
202	115	451
203	115	450
204	115	448
205	116	447
206	116	445
207	116	444
208	117	443
209	117	441
210	117	440
211	118	438
212	118	437
213	118	436
214	119	434
215	119	433
216	119	431
217	120	430
218	120	429
219	120	427
220	120	426
221	121	425
222	121	424
223	122	422
224	122	421
225	122	420
226	123	418
227	123	417
228	123	416
229	123	415
230	124	413
231	124	412
232	124	411
233	125	410
234	125	408
235	125	407
236	126	406
237	126	404
238	126	403
239	127	402
240	127	401
241	127	399
242	127	398
243	128	397
244	128	395
245	128	394
246	129	393
247	129	392
248	129	391
249	129	389
250	130	388
251	130	387
252	130	386
253	131	385
254	131	384
255	131	383
256	132	382
257	132	380
258	132	379
259	133	378
260	133	377
261	133	376
262	134	375
263	134	374
264	134	373
265	134	372
266	135	371
267	135	369
268	135	368
269	136	367
270	136	366
271	136	365
272	136	364
273	137	363
274	137	362
275	137	361
276	138	360
277	138	359
278	138	358
279	139	357
280	139	356
281	139	356
282	140	355
283	140	354
284	140	353
285	141	352
286	141	351
287	141	350
288	141	349
289	142	348
290	142	347
291	142	346
292	143	345
293	143	344
294	143	343
295	144	342
296	144	341
297	144	340
298	144	339
299	145	338
300	145	338
301	145	337
302	146	336
303	146	335
304	146	334
305	147	333
306	147	332
307	147	331
308	148	330
309	148	330
310	148	329
311	148	328
312	149	327
313	149	326
314	149	325
315	150	324
316	150	323
317	150	323
318	150	322
319	151	321
320	151	320
321	151	319
322	152	319
323	152	318
324	152	317
325	153	316
326	153	315
327	153	314
328	153	314
329	154	313
330	154	312
331	154	311
332	155	310
333	155	309
334	155	309
335	156	308
336	156	307
337	156	306
338	156	306
339	157	305
340	157	304
341	157	303
342	158	302
343	158	302
344	158	301
345	159	300
346	159	299
347	159	299
348	159	298
349	160	297
350	160	296
351	160	296
352	161	295
353	161	294
354	161	293
355	161	293
356	162	292
357	162	291
358	162	290
359	163	290
360	163	289
361	163	288
362	164	287
363	164	287
364	164	286
365	164	285
366	165	285
367	165	284
368	165	283
369	166	283
370	166	282
371	166	281
372	167	280
373	167	280
374	167	279
375	168	278
376	168	278
377	168	277
378	168	276
379	169	276
380	169	276
381	170	275
382	170	274
383	170	274
384	171	273
385	171	272
386	171	272
387	172	271
388	172	270
389	172	270
390	172	269
391	173	268
392	173	268
393	173	267
394	174	266
395	174	266
396	174	265
397	175	264
398	175	264
399	175	263
400	176	262
401	176	262
402	176	261
403	176	261
404	177	260
405	177	259
406	177	259
407	178	258
408	178	258
409	178	257
410	179	256
411	179	256
412	179	255
413	180	254
414	180	254
415	180	253
416	181	253
417	181	252
418	181	252
419	182	251
420	182	250
421	182	250
422	182	249
423	183	249
424	183	248
425	183	247
426	184	247
427	184	246
428	184	245
429	185	245
430	185	244
431	185	244
432	185	243
433	186	242
434	186	242
435	186	241
436	187	241
437	187	240
438	187	239
439	188	239
440	188	238
441	188	238
442	188	237
443	189	236
444	189	236
445	189	235
446	190	235
447	190	234
448	190	234
449	191	233
450	191	232
451	191	232
452	192	231
453	192	231
454	192	230
455	193	230
456	193	229
457	193	229
458	194	228
459	194	228
460	194	227
461	195	227
462	195	226
463	195	226
