iter	Passed	Remaining
0	0	41
1	0	38
2	1	36
3	1	33
4	1	32
5	2	32
6	2	32
7	2	31
8	3	31
9	3	30
10	3	30
11	4	30
12	4	29
13	4	29
14	5	28
15	5	28
16	5	28
17	6	27
18	6	27
19	6	27
20	7	26
21	7	26
22	7	26
23	8	25
24	8	25
25	8	25
26	9	24
27	9	24
28	9	23
29	10	23
30	10	23
31	10	22
32	11	22
33	11	22
34	11	21
35	12	21
36	12	21
37	12	20
38	13	20
39	13	20
40	13	19
41	13	19
42	14	18
43	14	18
44	14	18
45	15	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	21	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	24	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	25	6
79	26	6
80	26	6
81	27	5
82	27	5
83	27	5
84	27	4
85	28	4
86	28	4
87	28	3
88	29	3
89	29	3
90	29	2
91	30	2
92	30	2
93	30	1
94	31	1
95	31	1
96	31	0
97	32	0
98	32	0
99	32	0
